Date,Open,High,Low,Close,Volume
2014-09-17,465.8640137,468.1740112,452.4219971,457.3340149,21056800
2014-09-18,456.8599854,456.8599854,413.1040039,424.4400024,34483200
2014-09-19,424.1029968,427.8349915,384.5320129,394.79599,37919700
2014-09-20,394.6730042,423.29599,389.8829956,408.9039917,36863600
2014-09-21,408.0849915,412.4259949,393.1809998,398.8210144,26580100
2014-09-22,399.1000061,406.9159851,397.1300049,402.1520081,24127600
2014-09-23,402.0920105,441.5570068,396.196991,435.7909851,45099500
2014-09-24,435.7510071,436.1119995,421.1319885,423.2049866,30627700
2014-09-25,423.1560059,423.519989,409.4679871,411.5740051,26814400
2014-09-26,411.4289856,414.9379883,400.0090027,404.4249878,21460800
2014-09-27,403.5559998,406.6229858,397.3720093,399.519989,15029300
2014-09-28,399.4710083,401.0169983,374.3320007,377.1809998,23613300
2014-09-29,376.928009,385.2109985,372.2399902,375.4670105,32497700
2014-09-30,376.0880127,390.9769897,373.4429932,386.9440002,34707300
2014-10-01,387.427002,391.3789978,380.7799988,383.6149902,26229400
2014-10-02,383.9880066,385.4970093,372.9460144,375.071991,21777700
2014-10-03,375.1809998,377.6950073,357.8590088,359.5119934,30901200
2014-10-04,359.8919983,364.4869995,325.8859863,328.8659973,47236500
2014-10-05,328.9159851,341.8009949,289.29599,320.5100098,83308096
2014-10-06,320.3890076,345.1340027,302.5599976,330.07901,79011800
2014-10-07,330.5840149,339.2470093,320.4819946,336.1870117,49199900
2014-10-08,336.1159973,354.3640137,327.1879883,352.9400024,54736300
2014-10-09,352.7479858,382.7260132,347.6870117,365.026001,83641104
2014-10-10,364.6870117,375.0669861,352.9630127,361.5620117,43665700
2014-10-11,361.3619995,367.1910095,355.9509888,362.2990112,13345200
2014-10-12,362.6059875,379.4330139,356.1440125,378.5490112,17552800
2014-10-13,377.92099,397.2260132,368.8970032,390.4140015,35221400
2014-10-14,391.6919861,411.697998,391.3240051,400.8699951,38491500
2014-10-15,400.9549866,402.2269897,388.7659912,394.7730103,25267100
2014-10-16,394.5180054,398.8070068,373.0700073,382.5559998,26990000
2014-10-17,382.756012,385.4779968,375.3890076,383.7579956,13600700
2014-10-18,383.9760132,395.1579895,378.9710083,391.4419861,11416800
2014-10-19,391.2539978,393.9389954,386.4570007,389.54599,5914570
2014-10-20,389.2309875,390.0840149,378.2520142,382.8450012,16419000
2014-10-21,382.42099,392.6459961,380.8340149,386.4750061,14188900
2014-10-22,386.1180115,388.5759888,382.2489929,383.1579895,11641300
2014-10-23,382.9620056,385.0480042,356.446991,358.4169922,26456900
2014-10-24,358.5910034,364.3450012,353.3049927,358.3450012,15585700
2014-10-25,358.6109924,359.8609924,342.8770142,347.2709961,18127500
2014-10-26,347.4869995,359.2210083,343.9309998,354.70401,11272500
2014-10-27,354.7770081,358.6319885,349.8089905,352.9890137,13033000
2014-10-28,353.2149963,359.9840088,352.6789856,357.6180115,7845880
2014-10-29,357.0889893,357.8330078,335.3429871,335.5910034,18192700
2014-10-30,335.7090149,350.9129944,335.071991,345.3049927,30177900
2014-10-31,345.0090027,348.0450134,337.1419983,338.3210144,12545400
2014-11-01,338.6499939,340.5289917,321.0549927,325.7489929,16677200
2014-11-02,326.0750122,329.0499878,320.6260071,325.8919983,8603620
2014-11-03,325.5690002,334.0020142,325.4809875,327.5539856,12948500
2014-11-04,327.1610107,331.7669983,325.0769958,330.4920044,15655500
2014-11-05,330.6830139,343.368988,330.6830139,339.4859924,19817200
2014-11-06,339.4580078,352.9660034,338.4240112,349.2900085,18797000
2014-11-07,349.8179932,352.7319946,341.776001,342.4150085,16834200
